model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop,recalibrated_accuracy,recalibrated_precision,recalibrated_recall,recalibrated_f1,recalibrated_fpr,recalibrated_auroc,recalibration_n_labeled_samples,f1_recovered_by_recalibration
mlp,CAM-LDS,CasinoLimit,11,53,17,0.9378483773601534,0.957310230282354,0.8196948149287004,0.8831738932372551,0.014684763978320286,0.9595385087848181,0.9036011865811631,0.997965707643127,0.4376473586949595,0.6084606866002215,0.00018421295017039698,0.5262182128156484,0.2747132066370337,0.17793522267206477,0.9880329094988781,0.14012941550864538,0.2454477889260498,0.03532008830022075,0.4350546818342223,81812,-0.36301289767417166
mlp,CAM-LDS,CasinoLimit,12,54,17,0.9367137412148318,0.9834493942573691,0.7925202752046738,0.8777217291360705,0.005358163091984373,0.9593664135577545,0.8648191772455612,1.0,0.21015739501688652,0.3473224158812069,0.0,0.7504406550399606,0.5303993132548637,0.148582995951417,0.9951219512195122,0.10819985149039991,0.19517795637198623,0.011037527593818985,0.6487338163290778,81812,-0.15214445950922065
mlp,CAM-LDS,CasinoLimit,13,55,17,0.9379034567846836,0.9641523184841031,0.8135834262213169,0.8824915052844426,0.012152375658189342,0.9590616209994393,0.8648628015530253,1.0,0.21041228573249218,0.3476704395893656,0.0,0.5802347955379421,0.534821065695077,0.24220647773279352,0.9859719438877755,0.20876206640500689,0.34456797688873325,0.06181015452538632,0.5475793895276613,81812,-0.003102462700632358
mlp,CAM-LDS,CasinoLimit,14,56,17,0.9386525369582939,0.9700257447591026,0.8110081869546835,0.8834181163516088,0.01006778771174009,0.9597351403763659,0.07885093574139511,0.08524420105424411,0.4503281717963423,0.14335267150797193,0.9978552349373018,0.3002489471560634,0.7400654448436369,0.08188259109311741,0.9540816326530612,0.039673278879813305,0.07617883694877278,0.039735099337748346,0.36716668645389655,81812,-0.06717383455919915
mlp,CasinoLimit,CAM-LDS,0,42,17,0.9950704532565545,0.9878368862428781,0.9833046581278277,0.9855655617295779,0.0025000328951696733,0.9993467010498979,0.3310603890810549,0.2965914951474518,0.9725948418341853,0.45456423522226114,0.9266688284615741,0.49047909913257287,0.5310013265073168,0.343897389408176,0.2931658683301771,0.8828043104532685,0.4401609784142581,0.8785392869505019,0.5029601949562641,9149,-0.014403256808003029
mlp,CasinoLimit,CAM-LDS,1,43,17,0.9971317017842342,0.9837597190870329,0.9997451092843943,0.9916879997471635,0.003407939578152344,0.9994044110795487,0.33143492916786005,0.29750280321435246,0.9790137217972864,0.4563345964007059,0.9287225336236316,0.21544990232184347,0.5353534033464575,0.38912641340699994,0.06789795376029764,0.08570589961843264,0.07576965136322354,0.4856351678781585,0.20188084070422246,9149,-0.38056494503748234
mlp,CasinoLimit,CAM-LDS,2,44,17,0.9967281769401911,0.9813621865032209,0.9998725546421972,0.990530900826968,0.003921104225055593,0.999380046895763,0.3332305184075437,0.29853708654890193,0.9828189260867894,0.4579646810187341,0.9277342845230926,0.5473911318596685,0.5325662198082339,0.3676757034877311,0.31318038081141086,0.9758899744224077,0.47418605598793856,0.8833679473866389,0.5457454870561887,9149,0.01622137496920445
mlp,CasinoLimit,CAM-LDS,3,45,17,0.9968917680931815,0.9822837110304244,0.9998725546421972,0.9910000947358449,0.0037237332070158818,0.9993874203774964,0.3315671197867325,0.29757761218435375,0.9792827766460391,0.45645182962332603,0.9286453266626519,0.4760725772663522,0.5345482651125189,0.3047936395153683,0.2837176891319782,0.9048178120675919,0.43198174302100956,0.9428695050190378,0.48319156179656414,9149,-0.024470086602316476
mlp,CasinoLimit,CAM-LDS,4,46,17,0.18705012432927628,0.17390003324836528,0.9998725546421972,0.29627182009572994,0.9807892209108015,0.9993291645056115,0.3303663883319747,0.2962103362989532,0.9712880039973864,0.4539738430583501,0.9271166288352558,0.19451743603849897,-0.15770202296262015,0.3898491957515099,0.04536378603706169,0.054299970648664514,0.04943125429422093,0.4716510903426791,0.17946659060254214,9149,-0.4045425887641292
mlp,CasinoLimit,CAM-LDS,5,47,17,0.9968590498625834,0.9820992676973149,0.9998725546421972,0.9909062203978528,0.003763207410623824,0.9993125125443623,0.33326356606226176,0.2985428391285057,0.9827804896798247,0.4579672765374385,0.9276725189543089,0.47946657562578054,0.5329389438604143,0.30811353808082914,0.28593547032658473,0.9137490041511175,0.4355699466330875,0.9418656974731741,0.4879765584382798,9149,-0.022397329904351004
mlp,CasinoLimit,CAM-LDS,6,48,17,0.997066265323038,0.9833897455183653,0.9997451092843943,0.9914999842007142,0.0034868879853682286,0.9993872878996576,0.33316442309810745,0.29844558375278823,0.9822423799823192,0.45779441797140913,0.9275953119933293,0.5339132405535412,0.5337055662293051,0.36728368594494604,0.30881806803020506,0.941423120466267,0.46507581406910264,0.8696953963309103,0.5358574484024698,9149,0.0072813960976935155
mlp,CasinoLimit,CAM-LDS,7,49,17,0.9971098896305021,0.9836363636363636,0.9997451092843943,0.991625319975982,0.003434255713890972,0.9993796880317443,0.33472867875476436,0.2988942842099105,0.9818580159126725,0.45828026049048276,0.9252482203795495,0.5611654632348781,0.5333450594854993,0.7710005022724767,0.9752949852507374,0.22181223531384964,0.36142520411300516,0.00231914157147802,0.557740569666127,9149,-0.0968550563774776
mlp,CasinoLimit,CAM-LDS,8,50,17,0.9967608951707891,0.9815463530589266,0.9998725546421972,0.9906247040626283,0.0038816300214476506,0.9994079192268732,0.3313578179735178,0.29744536205305516,0.9787446669485337,0.45623779406231524,0.9287225336236316,0.4929169802210889,0.534386910000313,0.3430888532261819,0.2924057340473003,0.8792402197157113,0.43886104163832523,0.8782104534440983,0.5041889158367326,9149,-0.017376752423990005
mlp,CasinoLimit,CAM-LDS,9,51,17,0.9969790167081097,0.982775898784918,0.9998725546421972,0.9912505132821631,0.0036184686640613694,0.9994092180127733,0.3327568353565842,0.29771689497716897,0.9773609562978053,0.4564064365010276,0.9262055866956965,0.6316918373734178,0.5348440767811355,0.5016721998309425,0.259743597064786,0.38144156987714367,0.30904334828101643,0.4487019730010384,0.641691096722382,9149,-0.14736308822001115
mlp,CasinoLimit,CAM-LDS,10,52,17,0.9969790167081097,0.982775898784918,0.9998725546421972,0.9912505132821631,0.0036184686640613694,0.9994090327114926,0.33242635880940313,0.29810858143607705,0.9813967790290964,0.4573060975937385,0.9282901746421457,0.5420959154246207,0.5339444156884245,0.3661933871540751,0.31157266019837304,0.9667910604218206,0.4712675394221827,0.8817064728279681,0.5423177309715196,9149,0.013961441828444165
mlp,CasinoLimit,CAM-LDS,11,53,17,0.9968263316319853,0.9819148936170212,0.9998725546421972,0.9908123638430208,0.003802681614231766,0.9993801366117678,0.33294410539998676,0.2982769698031657,0.981435215436061,0.4575083764849223,0.9275798706011334,0.3225190952382581,0.5333039873580985,0.43189307721520537,0.15093754842708818,0.20420143402239088,0.17357522186976512,0.47412599515403253,0.310032871521862,9149,-0.2839331546151572
mlp,CasinoLimit,CAM-LDS,12,54,17,0.9969899227849758,0.9828374569370498,0.9998725546421972,0.9912818244993367,0.003605310596192055,0.9993753363862818,0.33396858269624796,0.29868141117059827,0.9820886343544606,0.4580550899491767,0.9264063247942435,0.474299153225615,0.53322673455016,0.403851572357863,0.08477242302543507,0.10620990397920248,0.09428800089337229,0.4732952578746971,0.49430298568089365,9149,-0.3637670890558044
mlp,CasinoLimit,CAM-LDS,13,55,17,0.9969572045543778,0.9826528056112225,0.9998725546421972,0.9911878967815293,0.0036447847997999974,0.9993704313523791,0.3324043270395911,0.2975864409953883,0.9772072106699465,0.45623637293519126,0.9266379456771823,0.2573115426794955,0.534951523846338,0.6740251626260275,0.1075085324232082,0.015849721162312886,0.027626530239356843,0.05430944963655244,0.20732277939251487,9149,-0.4286098426958344
mlp,CasinoLimit,CAM-LDS,14,56,17,0.9969135802469136,0.9824067117455547,0.9998725546421972,0.9910626875098689,0.0036974170712772538,0.9993934120650639,0.32731498821300314,0.29632255515004996,0.9799361955644387,0.4550443978403463,0.9348682077176078,0.19990068508674064,0.5360182896695227,0.38836687941785397,0.03778801843317972,0.04469789089689295,0.040953533490846926,0.46978193146417446,0.1840966157342694,9149,-0.4140908643494994
