model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
mlp,CasinoLimit,CAM-LDS,3,45,17,0.9968917680931815,0.9822837110304244,0.9998725546421972,0.9910000947358449,0.0037237332070158818,0.9993980043506512,0.5473927647155994,0.5478875793291025,0.9245644812533148,0.688046027613532,0.8951248115262188,0.5002024536389184,0.302954067122313
mlp,CasinoLimit,CAM-LDS,4,46,17,0.9301792959036775,0.9997848305540613,0.5921748550309055,0.743797022570834,2.631613573862814e-05,0.999381870562214,0.5572600627718738,0.5584155792541564,0.8598588388886622,0.6771024922293526,0.7977646411219874,0.5122795435914824,0.06669453034148143
mlp,CasinoLimit,CAM-LDS,5,47,17,0.9969135802469136,0.9824067117455547,0.9998725546421972,0.9910626875098689,0.0036974170712772538,0.9994098133245802,0.5464016298661968,0.5473848499147036,0.9229121618864999,0.68719194987659,0.8953402101333078,0.5292626305050396,0.3038707376332789
mlp,CasinoLimit,CAM-LDS,6,48,17,0.9969462984775117,0.9825912705867619,0.9998725546421972,0.9911565914976944,0.0036579428676693114,0.9993957144963624,0.5385936897747922,0.5435835943617854,0.9062461751866508,0.6795564053537285,0.8927554268482397,0.25977290563491784,0.3116001861439659
mlp,CasinoLimit,CAM-LDS,7,49,17,0.9969026741700475,0.9823452075377199,0.9998725546421972,0.9910313901345291,0.0037105751391465678,0.9994053677707763,0.5455756841583613,0.5469851498340561,0.9211782465015708,0.6863961088311293,0.8951008783476534,0.515484613965275,0.3046352813033998
mlp,CasinoLimit,CAM-LDS,8,50,17,0.9971098896305021,0.9836363636363636,0.9997451092843943,0.991625319975982,0.003434255713890972,0.9993824767740965,0.5474258025439128,0.5479944775468681,0.9230345559136715,0.6877061264191376,0.893258023598114,0.5008271348889108,0.3039191935568444
mlp,CasinoLimit,CAM-LDS,9,51,17,0.9969026741700475,0.9823452075377199,0.9998725546421972,0.9910313901345291,0.0037105751391465678,0.9993888373872908,0.3566543692527944,0.4272328826526661,0.5627269389253804,0.4857074944317772,0.8851207428858626,0.18924448550190076,0.5053238957027519
mlp,CasinoLimit,CAM-LDS,10,52,17,0.9971098896305021,0.9836363636363636,0.9997451092843943,0.991625319975982,0.003434255713890972,0.9993668603200042,0.5456087219866748,0.5466333385408529,0.9278895189914732,0.6879721707566075,0.9029030945599885,0.5030438748847009,0.3036531492193745
mlp,CasinoLimit,CAM-LDS,11,53,17,0.9969135802469136,0.9824067117455547,0.9998725546421972,0.9910626875098689,0.0036974170712772538,0.9994089010721212,0.5467650459776444,0.5476796624963631,0.9215658275876137,0.6870504144171546,0.8929708254553287,0.5219428912958964,0.3040122730927143
mlp,CasinoLimit,CAM-LDS,12,54,17,0.9969026741700475,0.9823452075377199,0.9998725546421972,0.9910313901345291,0.0037105751391465678,0.9993202599825265,0.5492428831011508,0.5489029918404352,0.9262779976337154,0.6893211989646824,0.8931144245267214,0.5310910385431651,0.30171019116984676
mlp,CasinoLimit,CAM-LDS,13,55,17,0.9969026741700475,0.9823452075377199,0.9998725546421972,0.9910313901345291,0.0037105751391465678,0.9994076609789345,0.53734926490832,0.5431663978130503,0.89980008975562,0.6774116761754114,0.8878969915994543,0.48469073213403524,0.3136197139591177
mlp,CasinoLimit,CAM-LDS,14,56,17,0.9970989835536361,0.9835746975111278,0.9997451092843943,0.9915939830615599,0.003447413781760286,0.9993911775496193,0.5498485766202301,0.5491896331006497,0.9276243319326017,0.6899198931909212,0.8933776894909413,0.4819596519124373,0.3016740898706387
