model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
rf,CAM-LDS,CasinoLimit,10,52,17,0.8659435053135841,0.9954021134145358,0.7551711476479948,0.8588031967336712,0.0040925735346911424,0.956982858215051,0.8287636871264669,0.0,0.0,0.0,0.00010526454295451255,0.008930583488151502,0.8588031967336712
rf,CAM-LDS,CasinoLimit,11,53,17,0.8648422443698034,0.9954431471944347,0.7530904491860797,0.8574713444587674,0.004044707177560252,0.9568970252402607,0.8288509357413951,0.0,0.0,0.0,0.0,0.0224267960100462,0.8574713444587674
rf,CAM-LDS,CasinoLimit,12,54,17,0.8653818622322559,0.9954491598448945,0.7540900004079801,0.858121126302839,0.004044707177560252,0.9569623810964397,0.828818217510797,0.0,0.0,0.0,3.947420360794221e-05,0.02260777918404681,0.858121126302839
rf,CAM-LDS,CasinoLimit,13,55,17,0.8656021144210121,0.9954516094305093,0.7544979804985517,0.8583861310311216,0.004044707177560252,0.9568637925801293,0.828818217510797,0.2,6.372267890142101e-05,0.00012740476493820868,5.263227147725628e-05,0.02227572348124423,0.8582587262661834
rf,CAM-LDS,CasinoLimit,14,56,17,0.865205660481251,0.995447198275862,0.7537636163355228,0.8579090339207355,0.004044707177560252,0.956916617472777,0.8287636871264669,0.0,0.0,0.0,0.00010526454295451255,0.023081468788874775,0.8579090339207355
rf,CasinoLimit,CAM-LDS,0,42,17,0.9969135802469136,0.98228592889334,1.0,0.9910638163503742,0.0037237332070158818,0.9993914240590154,0.5388139419635483,0.5393799748638458,0.9980212965607278,0.7002891331730219,0.9999521336428691,0.5014534931506199,0.29077468317735233
rf,CasinoLimit,CAM-LDS,1,43,17,0.9969135802469136,0.98228592889334,1.0,0.9910638163503742,0.0037237332070158818,0.9993113948674063,0.5383844501954738,0.5391827055644405,0.9972053363795846,0.6999219684007818,0.9999282004643036,0.5456294119511401,0.2911418479495924
rf,CasinoLimit,CAM-LDS,2,44,17,0.9969135802469136,0.98228592889334,1.0,0.9910638163503742,0.0037237332070158818,0.9995028613984813,0.5384615384615384,0.5392182812775719,0.9973481294112847,0.6999871146935445,0.9999282004643036,0.696010861130499,0.29107670165682975
rf,CasinoLimit,CAM-LDS,3,45,17,0.9969135802469136,0.98228592889334,1.0,0.9910638163503742,0.0037237332070158818,0.9994049569217829,0.5385496393370409,0.539258932509925,0.9975113214475133,0.7000615596054459,0.9999282004643036,0.44409283646669406,0.2910022567449283
rf,CasinoLimit,CAM-LDS,4,46,17,0.9969135802469136,0.98228592889334,1.0,0.9910638163503742,0.0037237332070158818,0.9992814288833636,0.535422058256704,0.5378122441754983,0.9916976051568683,0.6974091926321225,0.9999042672857382,0.4627894256024743,0.2936546237182517
rf,CasinoLimit,CAM-LDS,5,47,17,0.9969135802469136,0.98228592889334,1.0,0.9910638163503742,0.0037237332070158818,0.9993748014441228,0.5388249545729861,0.5393850529727584,0.9980416955652565,0.7002984348274159,0.9999521336428691,0.4657613327620942,0.2907653815229583
rf,CasinoLimit,CAM-LDS,6,48,17,0.9969135802469136,0.98228592889334,1.0,0.9910638163503742,0.0037237332070158818,0.9993724503817188,0.5387809041352348,0.5393656078764292,0.9979397005426135,0.7002569369395161,0.9999282004643036,0.4429209958471888,0.29080687941085814
rf,CasinoLimit,CAM-LDS,7,49,17,0.9969135802469136,0.98228592889334,1.0,0.9910638163503742,0.0037237332070158818,0.9993112674203715,0.5276691812124883,0.5341844129780354,0.9773367059687488,0.6907982005882692,0.9999042672857382,0.45581397567822146,0.300265615762105
rf,CasinoLimit,CAM-LDS,8,50,17,0.9969135802469136,0.98228592889334,1.0,0.9910638163503742,0.0037237332070158818,0.9992935103591762,0.5388910302296129,0.539413781319929,0.9982048876014851,0.7003628192558985,1.0,0.45133720095621055,0.2907009970944757
rf,CasinoLimit,CAM-LDS,9,51,17,0.9969135802469136,0.98228592889334,1.0,0.9910638163503742,0.0037237332070158818,0.999263530121189,0.5387809041352348,0.5393656078764292,0.9979397005426135,0.7002569369395161,0.9999282004643036,0.45493150086730116,0.29080687941085814
