model,train_dataset,test_dataset,repeat,seed,n_shared_features,insample_accuracy,insample_precision,insample_recall,insample_f1,insample_fpr,insample_auroc,crossdataset_accuracy,crossdataset_precision,crossdataset_recall,crossdataset_f1,crossdataset_fpr,crossdataset_auroc,f1_drop
cnn,CAM-LDS,CasinoLimit,11,53,17,0.8644017399922912,0.991169150900479,0.7555587287340377,0.8574735794237826,0.007897948926596942,0.9464409042996706,0.11790559699864765,0.12355631525455049,0.681705218887402,0.20919659356453552,0.9985131383307675,0.3358785906410861,0.648276985859247
cnn,CAM-LDS,CasinoLimit,12,54,17,0.8739716975937448,0.9312370897406472,0.8276692097425645,0.8764040089856575,0.07170380298207404,0.9458008582536842,0.1711163460280068,0.1711219448352583,0.9998088319632957,0.29222774766720677,1.0,0.29364141916676806,0.5841762613184507
cnn,CAM-LDS,CasinoLimit,13,55,17,0.8590385991960795,0.993218954248366,0.7439720941618049,0.850714935504187,0.0059593614627958735,0.945381672209712,0.16194433538367578,0.16338955434208208,0.9457082775759893,0.27863881717906597,0.9998947354570454,0.2934930255410976,0.5720761183251211
cnn,CAM-LDS,CasinoLimit,14,56,17,0.858443918286438,0.9927251920876247,0.743237729998776,0.8500536605851337,0.006390158676973889,0.9462676973056987,0.09302883566723379,0.09881432326043264,0.5294717389919072,0.1665464020845861,0.9970920670008816,0.22034827917370556,0.6835072585005475
cnn,CasinoLimit,CAM-LDS,0,42,17,0.9969244863237796,0.9823474178403756,1.0,0.991095111784767,0.0037105751391465678,0.9994849525746987,0.5251142558229173,0.5332581736189402,0.964872914201787,0.6868909832851686,0.9908335926094345,0.38423975517179493,0.3042041284995983
cnn,CasinoLimit,CAM-LDS,1,43,17,0.9968699559394495,0.9822211093026167,0.9998088319632957,0.990936937505921,0.0037368912748851958,0.9995204046505064,0.37613567534827375,0.12578492935635793,0.026151523805638285,0.04330057081095687,0.21324462101811742,0.10555865765022236,0.9476363666949642
cnn,CasinoLimit,CAM-LDS,2,44,17,0.9964009946342102,0.9865712294926205,0.9924807238896323,0.9895171537484116,0.002789510388294583,0.9994679819958627,0.33307637244645116,0.29831492099007134,0.17406470564236465,0.2198490196583619,0.4803628269870521,0.3113346083693286,0.7696681340900497
cnn,CasinoLimit,CAM-LDS,3,45,17,0.9968154255551193,0.9862347666856096,0.9952845217612949,0.9907389787503964,0.0028684587955104673,0.9994797121538624,0.32476185232090743,0.4093637100936371,0.5662967647178818,0.47520905192704366,0.9586195342603451,0.3316131802665357,0.5155299268233527
cnn,CasinoLimit,CAM-LDS,4,46,17,0.9967499890939231,0.9813645175411169,1.0,0.9905946218911753,0.003921104225055593,0.9994919101766346,0.503067011728429,0.5224953831948291,0.923442536004243,0.6673792218896965,0.9901395304310365,0.2931539161265639,0.32321540000147886
cnn,CasinoLimit,CAM-LDS,5,47,17,0.9970335470924399,0.9832048630694993,0.9997451092843943,0.9914060031595576,0.0035263621889761705,0.9995012490257985,0.5403336820659655,0.5445382262996942,0.908082085594223,0.6808185238430245,0.8911279707057894,0.45217155285405897,0.3105874793165331
cnn,CasinoLimit,CAM-LDS,6,48,17,0.9970226410155739,0.9831432510339642,0.9997451092843943,0.991374680104894,0.003539520256845485,0.9994919219151773,0.517229227465448,0.5292062919727768,0.9580596466892416,0.6818030050083472,0.9999760668214346,0.40022888236714627,0.3095716750965468
cnn,CasinoLimit,CAM-LDS,7,49,17,0.9967827073245212,0.9815486614961221,1.0,0.9906884252391023,0.0038816300214476506,0.9994677740559637,0.3545069104124222,0.4300915398519037,0.6018930276202521,0.5016918028327071,0.9357394155517794,0.3072232054349615,0.4889966224063952
cnn,CasinoLimit,CAM-LDS,8,50,17,0.9971098896305021,0.9835757271815446,0.9998088319632957,0.9916258492652867,0.003447413781760286,0.9994756053408617,0.3252133693078575,0.40987465426940506,0.5683162661662111,0.47626374002085575,0.960007658617141,0.34724101957613807,0.5153621092444309
cnn,CasinoLimit,CAM-LDS,9,51,17,0.9970226410155739,0.983022177671971,0.9998725546421972,0.9913757700205339,0.003565836392584113,0.9993459514601013,0.5023952425527228,0.5221262412492648,0.9235037330178287,0.6670939887570084,0.991671253859225,0.3454338981138078,0.32428178126352547
cnn,CasinoLimit,CAM-LDS,10,52,17,0.9971098896305021,0.9836363636363636,0.9997451092843943,0.991625319975982,0.003434255713890972,0.9994647907891903,0.4826936842684874,0.51213385154991,0.8816449757251846,0.6479080156505315,0.9853768278965129,0.3257924237000654,0.34371730432545056
cnn,CasinoLimit,CAM-LDS,11,53,17,0.9967827073245212,0.9816089077943201,0.9999362773210986,0.9906878373686038,0.0038684719535783366,0.999351727661564,0.3627333296624635,0.4328999074481482,0.5820243972094162,0.4965065996119411,0.8945504152406482,0.3942431476371213,0.4941812377566627
cnn,CasinoLimit,CAM-LDS,12,54,17,0.9970989835536361,0.9836353376387235,0.9996813866054929,0.9915934517413564,0.003434255713890972,0.9994663855540591,0.49349705412697537,0.5333891840649044,0.4935335155644405,0.5126879350716775,0.5065457243376493,0.31336031036709233,0.47890551666967884
cnn,CasinoLimit,CAM-LDS,13,55,17,0.9970880774767701,0.9836343115124153,0.9996176639265915,0.9915615814923675,0.003434255713890972,0.9994805061824276,0.4919663014151203,0.5311180980273925,0.503100648688344,0.516729870728488,0.52109709690544,0.3082980442304649,0.47483171076387953
cnn,CasinoLimit,CAM-LDS,14,56,17,0.9963573703267461,0.9865678261420516,0.9922258331740267,0.9893887406277799,0.002789510388294583,0.9994539653374436,0.3488684543802654,0.42342437930093674,0.5698461915058545,0.48584298584298585,0.9103941794509729,0.4374042029026465,0.5035457547847941
